created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-07 11:40:25 UTC,1,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:40:56 UTC,2,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:41:30 UTC,3,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:42:07 UTC,4,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:42:23 UTC,5,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:42:39 UTC,6,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:42:54 UTC,7,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:44:17 UTC,8,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:44:33 UTC,9,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:45:04 UTC,10,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:45:19 UTC,11,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:45:35 UTC,12,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:45:51 UTC,13,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:46:07 UTC,14,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:46:22 UTC,15,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:46:38 UTC,16,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:46:53 UTC,17,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:47:09 UTC,18,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:47:25 UTC,19,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:47:40 UTC,20,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:47:56 UTC,21,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:48:12 UTC,22,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:48:27 UTC,23,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:48:43 UTC,24,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:48:59 UTC,25,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:49:14 UTC,26,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:49:30 UTC,27,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:49:46 UTC,28,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:50:01 UTC,29,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:50:17 UTC,30,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:50:33 UTC,31,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:50:49 UTC,32,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:51:05 UTC,33,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:51:21 UTC,34,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:51:51 UTC,35,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:52:07 UTC,36,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:52:22 UTC,37,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:52:38 UTC,38,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:52:54 UTC,39,22.40,260,31,1,0,0,8076896478,8076896478
2018-04-07 11:57:25 UTC,40,25.90,266.86,0.00,1,0,0,8076896478,8076896478
2018-04-07 11:57:41 UTC,41,30.79,266.86,0.00,1,0,0,8076896478,8076896478
2018-04-07 11:57:57 UTC,42,23.95,267.35,0.00,1,0,0,8076896478,8076896478
2018-04-07 12:01:22 UTC,43,27.86,58.65,0.00,1,0,0,8076896478,8076896478
2018-04-07 12:01:38 UTC,44,26.39,46.92,0.00,1,0,0,8076896478,8076896478
2018-04-07 12:01:54 UTC,45,25.42,45.94,0.00,1,0,0,8076896478,8076896478
2018-04-07 12:03:10 UTC,46,25.42,271.26,0.00,1,0,1,8076896478,8076896478
2018-04-07 12:03:26 UTC,47,23.46,271.26,0.00,1,0,0,8076896478,8076896478
2018-04-07 12:03:42 UTC,48,23.95,272.24,0.00,1,0,1,8076896478,8076896478
2018-04-07 12:03:58 UTC,49,23.46,271.26,0.00,1,0,1,8076896478,8076896478
2018-04-07 12:04:17 UTC,50,40.57,271.26,0.00,1,0,0,8076896478,8076896478
